
loop:178, bump:15, step:200, totalValence:-258, surprise:0, bigValence:-2, compositeCount:381
loop:179, bump:15, step:201, totalValence:-260, surprise:0, bigValence:-2, compositeCount:383
loop:180, bump:15, step:202, totalValence:-262, surprise:0, bigValence:-2, compositeCount:386
loop:181, bump:15, step:203, totalValence:-265, surprise:0, bigValence:0, compositeCount:386
loop:181, bump:15, step:204, totalValence:-267, surprise:2, bigValence:-5, compositeCount:388
loop:182, bump:15, step:205, totalValence:-270, surprise:0, bigValence:-3, compositeCount:391
loop:183, bump:15, step:206, totalValence:-271, surprise:0, bigValence:-1, compositeCount:393
loop:184, bump:15, step:207, totalValence:-273, surprise:0, bigValence:-2, compositeCount:395
loop:185, bump:15, step:208, totalValence:-275, surprise:0, bigValence:-2, compositeCount:398
loop:186, bump:15, step:209, totalValence:-276, surprise:0, bigValence:-1, compositeCount:401
loop:187, bump:15, step:210, totalValence:-277, surprise:0, bigValence:-1, compositeCount:403
loop:188, bump:15, step:211, totalValence:-280, surprise:0, bigValence:-3, compositeCount:405
loop:189, bump:15, step:212, totalValence:-282, surprise:0, bigValence:-2, compositeCount:405
loop:190, bump:15, step:213, totalValence:-284, surprise:0, bigValence:-2, compositeCount:405
loop:191, bump:15, step:214, totalValence:-285, surprise:0, bigValence:-1, compositeCount:405
loop:192, bump:15, step:215, totalValence:-288, surprise:0, bigValence:0, compositeCount:405
loop:192, bump:15, step:216, totalValence:-289, surprise:0, bigValence:0, compositeCount:405
loop:192, bump:15, step:217, totalValence:-284, surprise:0, bigValence:1, compositeCount:407
loop:193, bump:16, step:218, totalValence:-294, surprise:0, bigValence:-10, compositeCount:410
loop:194, bump:16, step:219, totalValence:-296, surprise:0, bigValence:-2, compositeCount:413
loop:195, bump:16, step:220, totalValence:-297, surprise:0, bigValence:-1, compositeCount:415
loop:196, bump:16, step:221, totalValence:-300, surprise:0, bigValence:-3, compositeCount:417
loop:197, bump:16, step:222, totalValence:-295, surprise:0, bigValence:5, compositeCount:419
loop:198, bump:16, step:223, totalValence:-296, surprise:0, bigValence:0, compositeCount:419
loop:198, bump:16, step:224, totalValence:-291, surprise:0, bigValence:4, compositeCount:421
loop:199, bump:16, step:225, totalValence:-293, surprise:0, bigValence:-2, compositeCount:421
loop:200, bump:16, step:226, totalValence:-296, surprise:0, bigValence:-3, compositeCount:421
loop:201, bump:16, step:227, totalValence:-291, surprise:0, bigValence:5, compositeCount:423
loop:202, bump:16, step:228, totalValence:-292, surprise:0, bigValence:0, compositeCount:423
loop:202, bump:16, step:229, totalValence:-287, surprise:0, bigValence:4, compositeCount:423
loop:203, bump:16, step:230, totalValence:-288, surprise:0, bigValence:0, compositeCount:423
loop:203, bump:16, step:231, totalValence:-283, surprise:0, bigValence:4, compositeCount:425
loop:204, bump:16, step:232, totalValence:-285, surprise:0, bigValence:-2, compositeCount:425
loop:205, bump:16, step:233, totalValence:-287, surprise:0, bigValence:-2, compositeCount:427
loop:206, bump:16, step:234, totalValence:-290, surprise:0, bigValence:-3, compositeCount:427
loop:207, bump:16, step:235, totalValence:-285, surprise:0, bigValence:5, compositeCount:427
loop:208, bump:16, step:236, totalValence:-286, surprise:0, bigValence:0, compositeCount:427
loop:208, bump:16, step:237, totalValence:-281, surprise:0, bigValence:4, compositeCount:427
loop:209, bump:16, step:238, totalValence:-282, surprise:0, bigValence:0, compositeCount:427
loop:209, bump:16, step:239, totalValence:-277, surprise:0, bigValence:4, compositeCount:427
loop:210, bump:16, step:240, totalValence:-279, surprise:0, bigValence:-2, compositeCount:427
loop:211, bump:16, step:241, totalValence:-280, surprise:0, bigValence:-1, compositeCount:429
loop:212, bump:16, step:242, totalValence:-283, surprise:0, bigValence:-3, compositeCount:431
loop:213, bump:16, step:243, totalValence:-278, surprise:0, bigValence:0, compositeCount:431
loop:213, bump:16, step:244, totalValence:-279, surprise:0, bigValence:0, compositeCount:431
loop:213, bump:16, step:245, totalValence:-274, surprise:0, bigValence:9, compositeCount:433
loop:214, bump:17, step:246, totalValence:-284, surprise:0, bigValence:-10, compositeCount:436
loop:215, bump:17, step:247, totalValence:-286, surprise:0, bigValence:-2, compositeCount:438
loop:216, bump:17, step:248, totalValence:-289, surprise:0, bigValence:0, compositeCount:438
loop:216, bump:17, step:249, totalValence:-284, surprise:0, bigValence:2, compositeCount:440
loop:217, bump:17, step:250, totalValence:-286, surprise:0, bigValence:-2, compositeCount:443
loop:218, bump:17, step:251, totalValence:-289, surprise:0, bigValence:0, compositeCount:443
loop:218, bump:18, step:252, totalValence:-299, surprise:1, bigValence:-13, compositeCount:446
loop:219, bump:18, step:253, totalValence:-300, surprise:0, bigValence:-1, compositeCount:449
loop:220, bump:18, step:254, totalValence:-303, surprise:0, bigValence:-3, compositeCount:451
loop:221, bump:18, step:255, totalValence:-298, surprise:0, bigValence:0, compositeCount:451
loop:221, bump:18, step:256, totalValence:-300, surprise:2, bigValence:3, compositeCount:454
loop:222, bump:18, step:257, totalValence:-301, surprise:0, bigValence:-1, compositeCount:457
loop:223, bump:18, step:258, totalValence:-303, surprise:0, bigValence:-2, compositeCount:459
loop:224, bump:18, step:259, totalValence:-304, surprise:0, bigValence:-1, compositeCount:459
loop:225, bump:18, step:260, totalValence:-307, surprise:0, bigValence:0, compositeCount:459
loop:225, bump:18, step:261, totalValence:-308, surprise:0, bigValence:0, compositeCount:459
loop:225, bump:18, step:262, totalValence:-303, surprise:0, bigValence:1, compositeCount:459
loop:226, bump:18, step:263, totalValence:-305, surprise:0, bigValence:-2, compositeCount:462
loop:227, bump:18, step:264, totalValence:-307, surprise:0, bigValence:-2, compositeCount:464
loop:228, bump:18, step:265, totalValence:-309, surprise:0, bigValence:-2, compositeCount:466
loop:229, bump:18, step:266, totalValence:-312, surprise:0, bigValence:-3, compositeCount:468
loop:230, bump:18, step:267, totalValence:-314, surprise:0, bigValence:-2, compositeCount:468
loop:231, bump:19, step:268, totalValence:-324, surprise:0, bigValence:-10, compositeCount:470
loop:232, bump:19, step:269, totalValence:-326, surprise:0, bigValence:-2, compositeCount:472
loop:233, bump:19, step:270, totalValence:-327, surprise:0, bigValence:-1, compositeCount:474
loop:234, bump:19, step:271, totalValence:-330, surprise:0, bigValence:0, compositeCount:474
loop:234, bump:19, step:272, totalValence:-331, surprise:0, bigValence:0, compositeCount:474
loop:234, bump:19, step:273, totalValence:-326, surprise:0, bigValence:1, compositeCount:474
loop:235, bump:19, step:274, totalValence:-327, surprise:0, bigValence:-1, compositeCount:477
loop:236, bump:19, step:275, totalValence:-330, surprise:0, bigValence:-3, compositeCount:479
loop:237, bump:19, step:276, totalValence:-325, surprise:0, bigValence:0, compositeCount:479
loop:237, bump:19, step:277, totalValence:-327, surprise:1, bigValence:3, compositeCount:479
loop:238, bump:19, step:278, totalValence:-329, surprise:0, bigValence:-2, compositeCount:481
loop:239, bump:19, step:279, totalValence:-332, surprise:0, bigValence:-3, compositeCount:483
loop:240, bump:19, step:280, totalValence:-333, surprise:0, bigValence:0, compositeCount:483
loop:240, bump:19, step:281, totalValence:-328, surprise:0, bigValence:4, compositeCount:483
loop:241, bump:19, step:282, totalValence:-330, surprise:0, bigValence:-2, compositeCount:483
loop:242, bump:19, step:283, totalValence:-332, surprise:0, bigValence:-2, compositeCount:483
loop:243, bump:19, step:284, totalValence:-333, surprise:0, bigValence:-1, compositeCount:485
loop:244, bump:19, step:285, totalValence:-335, surprise:0, bigValence:-2, compositeCount:487
loop:245, bump:19, step:286, totalValence:-336, surprise:0, bigValence:-1, compositeCount:489
loop:246, bump:19, step:287, totalValence:-338, surprise:0, bigValence:-2, compositeCount:491
loop:247, bump:19, step:288, totalValence:-341, surprise:0, bigValence:-3, compositeCount:493
loop:248, bump:19, step:289, totalValence:-336, surprise:0, bigValence:0, compositeCount:493
loop:248, bump:19, step:290, totalValence:-337, surprise:0, bigValence:0, compositeCount:493
loop:248, bump:19, step:291, totalValence:-332, surprise:0, bigValence:9, compositeCount:495
loop:249, bump:19, step:292, totalValence:-335, surprise:0, bigValence:-3, compositeCount:498
loop:250, bump:19, step:293, totalValence:-337, surprise:0, bigValence:-2, compositeCount:500
loop:251, bump:19, step:294, totalValence:-340, surprise:0, bigValence:0, compositeCount:500
loop:251, bump:19, step:295, totalValence:-341, surprise:0, bigValence:0, compositeCount:500
loop:251, bump:19, step:296, totalValence:-336, surprise:0, bigValence:1, compositeCount:502
loop:252, bump:19, step:297, totalValence:-339, surprise:0, bigValence:-3, compositeCount:504
loop:253, bump:19, step:298, totalValence:-341, surprise:0, bigValence:-2, compositeCount:506
loop:254, bump:19, step:299, totalValence:-344, surprise:0, bigValence:0, compositeCount:506
loop:254, bump:19, step:300, totalValence:-345, surprise:0, bigValence:0, compositeCount:506
